id,idprovincia,zipcode,status
"272","2","Los Alcarrizos","10802",,"1"
"273","2","Los Americanos","10802",,"1"
"274","2","Los Angeles","10702",,"1"
"275","2","Los Arrecifes","10118",,"1"
"276","2","Los Arroyos","10507",,"1"
"277","2","Los Cacicazgos","11108",,"1"
"278","2","Los Caminos","10510",,"1"
"279","2","Los Casabes","11302",,"1"
"280","2","Los Conucos","11204",,"1"
"281","2","Los Coordinadores","11405",,"1"
"282","2","Los Frailes","11705",,"1"
"283","2","Los Frailes II","11706",,"1"
"284","2","Los Girasoles","10702",,"1"
"285","2","Los Guandules","10304",,"1"
"286","2","Los Guayabos","10607",,"1"
"287","2","Los Jardines Del Norte","10602",,"1"
"288","2","Los Libertadores","10802",,"1"
"289","2","Los Maestros","11110",,"1"
"290","2","Los Millones","10139",,"1"
"291","2","Los Millones","10140",,"1"
"292","2","Los Millones","10141",,"1"
"293","2","Los Millones","10142",,"1"
"294","2","Los Millones","10144",,"1"
"295","2","Los Mina Norte","11903",,"1"
"296","2","Los Mina Sur","11901",,"1"
"297","2","Los Mina Viejo","11906",,"1"
"298","2","Los Molinos","11603",,"1"
"299","2","Los Molinos","11801",,"1"
"300","2","Los Palmares","11403",,"1"
"301","2","Los Peralejos","10702",,"1"
"302","2","Los Pinos","10508",,"1"
"303","2","Los Pinos","10608",,"1"
"304","2","Los Pinos","11807",,"1"
"305","2","Los Praditos","10130",,"1"
"306","2","Los Prados","10131",,"1"
"307","2","Los Prados","10132",,"1"
"308","2","Los Proceres","10601",,"1"
"309","2","Los Restauradores","10137",,"1"
"310","2","Los Restauradores","11805",,"1"
"311","2","Los Rios","10604",,"1"
"312","2","Los Robles","10106",,"1"
"313","2","Los Rosales","11809",,"1"
"314","2","Los Tres Ojos","11605",,"1"
"315","2","Los Trinitarios","11512",,"1"
"316","2","Los Trinitarios II","11801",,"1"
"317","2","Loteria","11405",,"1"
"318","2","Loteria","11508",,"1"
"319","2","Loteria","11106",,"1"
"320","2","Lotes Y Servicios","11401",,"1"
"321","2","Lotificacion Del Este","11707",,"1"
"322","2","Lotificacion Engombe","10904",,"1"
"323","2","Lotificacion Vista Verde","10701",,"1"
"324","2","Lucerna","11516",,"1"
"325","2","Luz Consuelo","11107",,"1"
"326","2","Luz Divina","11004",,"1"
"327","2","Mandinga","11512",,"1"
"328","2","Manganagua","10138",,"1"
"329","2","Manoguayabo","10902",,"1"
"330","2","Manresa","11117",,"1"
"331","2","Manzano","10505",,"1"
"332","2","Maquiteria","11604",,"1"
"333","2","Mar Azul","11104",,"1"
"334","2","Maraon","11201",,"1"
"335","2","Maraon II","11202",,"1"
"336","2","Marbella III","11705",,"1"
"337","2","Maria Auxiliadora","10302",,"1"
"338","2","Maria Auxiliadora","10305",,"1"
"339","2","Maria Isabela","11203",,"1"
"340","2","Mata Hambre","10102",,"1"
"341","2","Mata Los Indios","11202",,"1"
"342","2","Mejoramiento Social","10301",,"1"
"343","2","Mejoramiento Social","10306",,"1"
"344","2","Mendoza","11510",,"1"
"345","2","Mi Hogar","11510",,"1"
"346","2","Mi Sueo","11509",,"1"
"347","2","Mil Flores","11905",,"1"
"348","2","Mirador","11102",,"1"
"349","2","Mirador Este","11708",,"1"
"350","2","Mirador Norte","10114",,"1"
"351","2","Mirador Sur","11109",,"1"
"352","2","Miraflores","10203",,"1"
"353","2","Miramar","11103",,"1"
"354","2","Modelo","11301",,"1"
"355","2","Molinuevo","11502",,"1"
"356","2","Naco","10124",,"1"
"357","2","Naco","10122",,"1"
"358","2","Naco","10123",,"1"
"359","2","Naco","10119",,"1"
"360","2","Narcisa","11512",,"1"
